iter	Passed	Remaining
0	1	1480
1	3	1653
2	4	1547
3	5	1488
4	7	1429
5	8	1360
6	9	1307
7	10	1336
8	12	1348
9	13	1314
10	14	1315
11	15	1305
12	16	1284
13	21	1501
14	22	1508
15	24	1482
16	26	1510
17	27	1489
18	28	1462
19	29	1438
20	30	1416
21	31	1399
22	32	1382
23	33	1379
24	35	1365
25	36	1354
26	37	1341
27	38	1350
28	39	1338
29	41	1352
30	43	1348
31	44	1338
32	45	1333
33	46	1324
34	47	1312
35	49	1318
36	50	1312
37	51	1308
38	52	1303
39	54	1297
40	56	1313
41	58	1337
42	60	1352
43	63	1385
44	67	1427
45	68	1428
46	71	1442
47	72	1441
48	73	1433
49	75	1431
50	78	1453
51	80	1463
52	82	1468
53	83	1462
54	85	1461
55	86	1455
56	88	1458
57	89	1451
58	90	1444
59	92	1442
60	93	1434
61	94	1425
62	95	1413
63	95	1403
64	96	1394
65	97	1385
66	99	1382
67	100	1379
68	101	1374
69	103	1370
70	104	1365
71	105	1358
72	106	1356
73	108	1351
74	109	1350
75	110	1344
76	111	1336
77	112	1329
78	114	1331
79	115	1327
80	117	1329
81	118	1328
82	119	1316
83	120	1310
84	121	1308
85	122	1306
86	124	1304
87	125	1304
88	127	1300
89	128	1298
90	129	1296
91	131	1295
92	132	1295
93	134	1291
94	135	1287
95	136	1288
96	137	1284
97	139	1280
98	140	1277
99	141	1275
100	142	1270
101	144	1270
102	145	1266
103	147	1266
104	148	1264
105	149	1262
106	160	1337
107	161	1333
108	162	1329
109	163	1324
110	164	1321
111	166	1317
112	167	1314
113	168	1313
114	170	1311
115	171	1309
116	172	1303
117	175	1308
118	176	1303
119	177	1298
120	178	1293
121	178	1287
122	179	1282
123	181	1283
124	182	1279
125	183	1275
126	184	1270
127	185	1266
128	187	1263
129	188	1263
130	190	1261
131	191	1259
132	192	1255
133	193	1252
134	195	1251
135	196	1248
136	197	1244
137	198	1242
138	199	1238
139	201	1235
140	202	1234
141	203	1230
142	204	1226
143	205	1223
144	206	1219
145	207	1214
146	208	1211
147	210	1211
148	211	1207
149	212	1204
150	213	1201
151	214	1198
152	215	1194
153	217	1195
154	218	1193
155	220	1191
156	221	1187
157	222	1184
158	223	1181
159	225	1184
160	226	1180
